Time,Open,High,Low,Close,Volume
1993/04/26 00:00:00,137.84,138.3,135.73,137.72,5021
1993/04/27 00:00:00,137.73,139.01,136.93,138.33,3561
1993/04/28 00:00:00,138.37,139.04,137.31,137.58,2671
1993/04/29 00:00:00,137.62,137.86,136.58,137.14,2081
1993/05/02 00:00:00,136.6,137.26,136.05,136.98,2041
1993/05/03 00:00:00,136.98,137.4,136.58,136.8,1461
1993/05/04 00:00:00,136.77,137.2,136.21,136.41,1621
1993/05/05 00:00:00,136.35,136.85,136.15,136.48,1271
1993/05/06 00:00:00,136.41,137.16,135.99,136.12,2051
1993/05/09 00:00:00,136.42,136.65,135.75,135.88,1261
1993/05/10 00:00:00,135.86,135.94,135.04,135.05,991
1993/05/11 00:00:00,135.04,136.14,134.87,135.45,2131
1993/05/12 00:00:00,135.4,135.82,134.82,135.51,1891
1993/05/13 00:00:00,135.51,136.08,135.1,135.19,1641
1993/05/16 00:00:00,135.49,135.49,134.72,134.87,921
1993/05/17 00:00:00,135.17,135.17,134.1,134.19,1161
1993/05/18 00:00:00,134.27,134.76,132.97,133.46,2771
1993/05/19 00:00:00,133.43,134.07,133.13,133.93,1381
1993/05/20 00:00:00,133.22,133.87,132.31,132.75,2651
1993/05/23 00:00:00,132.77,132.91,131.73,132.29,1881
1993/05/24 00:00:00,132.28,132.49,130.85,130.91,1911
1993/05/25 00:00:00,131,131.12,129.93,130.23,1611
1993/05/26 00:00:00,130.21,131.23,129.89,131.13,1761
1993/05/27 00:00:00,131.15,132.42,130.62,131.8,2951
1993/05/30 00:00:00,132.39,132.46,131.5,131.61,1141
1993/05/31 00:00:00,132.14,132.39,130.9,132.13,2971
1993/06/01 00:00:00,132.12,132.36,130.99,131.22,1841
1993/06/02 00:00:00,131.23,131.96,130.95,131.35,1901
1993/06/03 00:00:00,131.35,131.66,129.45,129.47,2541
1993/06/06 00:00:00,129.62,129.82,128.96,129.5,1601
1993/06/07 00:00:00,129.49,129.61,127.66,127.78,2191
1993/06/08 00:00:00,127.75,128.03,127.01,127.26,1551
1993/06/09 00:00:00,127.29,127.59,126.44,127.22,2231
1993/06/10 00:00:00,127.22,128.2,127.09,127.61,1831
1993/06/13 00:00:00,127.45,127.45,125.97,126.28,1791
1993/06/14 00:00:00,126.35,127.29,125.44,125.87,3221
1993/06/15 00:00:00,125.78,126.53,125.48,125.79,2091
1993/06/16 00:00:00,125.75,126.88,125.7,126.42,1691
1993/06/17 00:00:00,126.36,128,126.19,127.56,2421
1993/06/20 00:00:00,127.29,129.14,127.14,128.08,3211
1993/06/21 00:00:00,128.09,129.11,127.5,127.72,2851
1993/06/22 00:00:00,127.77,128.04,125.59,125.63,2761
1993/06/23 00:00:00,125.71,126.12,124.14,124.46,2711
1993/06/24 00:00:00,124.42,124.61,121.65,121.71,3211
1993/06/27 00:00:00,121.02,122.98,120.53,122.83,3091
1993/06/28 00:00:00,122.81,124.26,121.89,123.14,4411
1993/06/29 00:00:00,123.12,123.82,121.89,122.92,3661
1993/06/30 00:00:00,122.95,124.63,122.42,124.43,2941
1993/07/01 00:00:00,124.37,125.42,124.14,125.08,1851
1993/07/04 00:00:00,125.48,125.73,124.99,125.73,1231
1993/07/05 00:00:00,125.56,125.75,123.88,125.08,3261
1993/07/06 00:00:00,125.09,125.11,123.11,123.29,2201
1993/07/07 00:00:00,123.29,124.98,122.57,124.79,3321
1993/07/08 00:00:00,124.82,124.95,123.33,124.79,3211
1993/07/11 00:00:00,125.11,125.24,123.49,123.65,2041
1993/07/12 00:00:00,123.65,123.7,122.65,122.86,1311
1993/07/13 00:00:00,122.81,123.32,121.95,122.01,1941
1993/07/14 00:00:00,122.05,123.06,121.98,122.92,1291
1993/07/15 00:00:00,122.85,123.13,121.77,122.37,2241
1993/07/18 00:00:00,122.96,124.59,122.76,124.41,2211
1993/07/19 00:00:00,124.32,124.88,123.79,124.55,1951
1993/07/20 00:00:00,124.53,125.28,124.31,124.61,1861
1993/07/21 00:00:00,124.66,124.66,120.66,121.12,4461
1993/07/22 00:00:00,121.12,122.19,120.88,121.61,2131
1993/07/25 00:00:00,121.64,121.81,120.34,120.93,2231
1993/07/26 00:00:00,120.95,121.48,119.95,120.33,2441
1993/07/27 00:00:00,120.37,120.74,119.51,120.61,2221
1993/07/28 00:00:00,120.67,121.53,119.07,119.65,3901
1993/07/29 00:00:00,119.55,119.68,117.13,117.99,3541
1993/08/01 00:00:00,117.19,119.84,117.18,119.43,3081
1993/08/02 00:00:00,119.45,120.13,119.04,119.59,2041
1993/08/03 00:00:00,119.63,120.3,119.57,120.11,981
1993/08/04 00:00:00,120.05,120.28,118.65,119.37,2581
1993/08/05 00:00:00,119.39,120.76,118.96,120.17,2821
1993/08/08 00:00:00,120.5,121.13,120.39,120.83,1151
1993/08/09 00:00:00,120.81,120.85,119.11,119.17,1841
1993/08/10 00:00:00,119.09,119.4,117.45,117.81,2621
1993/08/11 00:00:00,117.83,118.13,117.02,117.51,1901
1993/08/12 00:00:00,117.51,117.51,116.09,116.4,1731
1993/08/15 00:00:00,116.17,117.94,115.58,117.7,3191
1993/08/16 00:00:00,117.74,118.5,116.51,116.68,2921
1993/08/17 00:00:00,116.66,118.57,116.53,118.21,2531
1993/08/18 00:00:00,118.33,123.32,117.61,122.5,7251
1993/08/19 00:00:00,122.36,122.7,120.74,121.83,3391
1993/08/22 00:00:00,121.28,121.39,119.35,119.69,2491
1993/08/23 00:00:00,119.59,121.02,119.17,120.95,2341
1993/08/24 00:00:00,120.96,122.28,120.56,121.83,2571
1993/08/25 00:00:00,121.77,122.81,121.4,122.74,1851
1993/08/26 00:00:00,122.72,123,121.65,121.9,1881
1993/08/29 00:00:00,122.06,122.43,121.25,121.44,1741
1993/08/30 00:00:00,121.31,122.4,121.31,122.15,1341
1993/08/31 00:00:00,122.13,124.64,121.89,124.22,3411
1993/09/01 00:00:00,124.22,126.14,123.82,125.74,3121
1993/09/02 00:00:00,125.71,126.88,124.81,126.32,3531
1993/09/05 00:00:00,126.35,127.23,126.11,126.42,2171
1993/09/06 00:00:00,126.63,127.07,124.78,126.27,4221
1993/09/07 00:00:00,126.22,128.08,126.13,127.97,2151
1993/09/08 00:00:00,127.97,129,126.97,128.41,3621
1993/09/09 00:00:00,128.51,130.58,128.43,129.96,2851
1993/09/12 00:00:00,129.63,130.27,128.41,129.13,3221
1993/09/13 00:00:00,129.08,129.21,127.62,128.65,2751
1993/09/14 00:00:00,128.67,130.65,128.59,129.46,3331
